name,pronunciation,meaning,type,length,weight,diet,teeth,food,how_moved,when_it_lived,found_it,taxonomy,foundators,year,species_type,comments,img_url
Stenopelix,ste-nop-e-liks,'narrow pelvis',ceratopsian,1.5m,,herbivorous,,,,"Early Cretaceous, 127-121 million years ago",Germany,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria",Meyer ,(1857) ,valdensis,  Stenopelix is only known from a fragmentary specimen.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Stenopelix.jpg
Struthiomimus,STRUTH-ee-oh-MEEM-us,'ostrich mimic',small theropod,4.0m,150kg,omnivorous,"horny beak, no teeth","unknown, could have eaten both plants and small animals",on 2 legs,"Late Cretaceous, 76-74 million years ago",Canada,"Dinosauria, Saurischia, Theropoda, Ornithomimosauria, Ornithomimidae",Osborn ,(1917) ,altus,  Struthiomimus looked a bit like a featherless ostrich with a long tail.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/struthio.jpg
Struthiosaurus,strew-thee-oh-sore-us,'ostrich lizard',armoured dinosaur,2.5m,,herbivorous,,,,"Late Cretaceous, 83-75 million years ago","Austria,
						
							France,
						
							Romania,
						
							Spain","Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Nodosauridae",Bunzel ,(1871) ,austriacus,"  Struthiosaurus may have been a dwarf ankylosaur, living on islands.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Struthiosaurus.jpg
Stygimoloch,stij-i-mol-ok,'Styx demon',pachycephalosaur,3.0m,,herbivorous,,,,"Late Cretaceous, 67-66 million years ago",USA,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria, Pachycephalosauridae",Galton and Sues ,(1983) ,spinifer,  Most scientists now think that Stygimoloch was a younger form of Pachycephalosaurus rather than a separate species.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Stygimoloch.jpg
Styracosaurus,sty-RAK-oh-sore-us,'spiked lizard',ceratopsian,5.5m,,herbivorous,,,,"Late Cretaceous, 76-70 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Centrosaurinae",Lambe ,(1913) ,albertensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/styrac.jpg
Suchomimus,sook-oh-mim-us,'crocodile mimic',large theropod,11.0m,,carnivorous,,,,"Early Cretaceous, 121-112 million years ago",Niger,"Dinosauria, Saurischia, Theropoda, Spinosauridae, Baryonychinae","Sereno, Beck, Dutheil, Gado, Larsson, Lyon, Marcot, Rauhut, Sadleir, Sidor, Varricchio, Wilson and Wilson ",(1998) ,tenerensis,  This dinosaur is similar to Spinosaurus and Baryonyx.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Suchomimus.jpg
Supersaurus,sue-per-sore-us,'super lizard',sauropod,35.0m,,herbivorous,,,,"Early Cretaceous, 154-142 million years ago",USA,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Diplodocidae",Jansen ,(1985) ,vivianae,"  Known only from certain bones, including vertebrae (backbones).",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Supersaurus.jpg
Talarurus,tal-a-roor-us,'wicker tail',armoured dinosaur,6.0m,,herbivorous,,,,"Late Cretaceous, 99-89 million years ago",Mongolia,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Ankylosauridae",Maleev ,(1952) ,plicatospineus,  Talarurus is known from fairly complete skeletons.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Talarurus.jpg
Tanius,tahn-ee-us,'[H. C.] Tan',large ornithopod,,,herbivorous,,,,"Late Cretaceous, 89-66 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae",Wiman ,(1929) ,sinensis,  Both skull and postcranial material has been found for this dinosaur.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Tanius.jpg
Tarbosaurus,TAR-bow-SORE-us,'alarming lizard',large theropod,10.0m,,carnivorous,,,,"Late Cretaceous, 74-70 million years ago","China,
						
							Mongolia","Dinosauria, Saurischia, Theropoda, Tyrannosauroidea, Tyrannosauridae, Tyrannosaurinae",Maleev ,(1955) ,bataar,  Tarbosaurus is very like Tyrannosaurus.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/tarbo.jpg
Tarchia,TAR-kee-ah,'brainy one',armoured dinosaur,5.5m,,herbivorous,,,,"Late Cretaceous, 75-70 million years ago",Mongolia,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Ankylosauridae",Maryanska ,(1977) ,kielanae,"  Tarchia was an ankylosaur, a heavily armoured type of dinosaur.  Like many ankylosaurs, Tarchia sported a hard, bony club on the end of its tail. Experts have debated whether the club was used for defending against predators, for fighting other Tarchia o",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/tarchia-ml.jpg
Telmatosaurus,tel-ma-toh-sore-us,'swamp lizard',large ornithopod,5.0m,,herbivorous,,,,"Late Cretaceous, 84-66 million years ago","France,
						
							Romania,
						
							Spain","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae",Nopcsa ,(1900) ,transsylvanicus,  Telmatosaurus is known from fragmentary remains.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Telmatosaurus.jpg
Tenontosaurus,ten-ON-toe-sore-us,'sinew lizard',large ornithopod,7.0m,900kg,herbivorous,,,,"Early Cretaceous, 120-110 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia",Ostrom ,(1970) ,tillettorum,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/tenonto.jpg
Thecodonto-saurus,theek-o-don-toh-sore-us,'socket-toothed lizard',prosauropod,2.5m,,omnivorous,,,,"Late Triassic, 227-205 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda",Morris ,(1843) ,antiquus,"  The original material used to describe Thecodontosaurus has been lost, but several other specimens are known.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Thecodontosaurus.jpg
Therizinosaurus,THER-ih-zine-oh-SORE-us,'scythe lizard',large theropod,,,unknown,,,,"Late Cretaceous, 85-70 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Therizinosauroidea, Therizinosauridae",Maleev ,(1915) ,cheloniformis,"  This large dinosaur is only known from the forelimb skeleton, so reconstructions are mostly guesswork.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/theriz.jpg
Thescelosaurus,thes-kel-oh-SORE-us,'wonderful lizard',small ornithopod,3.5m,,herbivorous,,,,"Late Cretaceous, 76-66 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda",Gilmore ,(1913) ,neglectus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/thescelo.jpg
Torosaurus,tor-oh-SORE-us,'bull lizard',ceratopsian,7.5m,,herbivorous,,,,"Late Cretaceous, 70-66 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae",Marsh ,(1891) ,latus,"  This dinosaur may have lived in social groups. It has the largest display crest of any ceratopsian and, like all the others, had a 'beak' for grazing.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/toro.jpg
Torvosaurus,TOR-voh-SORE-us,'savage lizard',large theropod,10.0m,,carnivorous,,,,"Late Jurassic, 155-144 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Megalosauridae, Megalosaurinae",Galton and Jensen ,(1979) ,tanneri,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/torvo.jpg
Triceratops,tri-SERRA-tops,'three-horned face',ceratopsian,9.0m,5500kg,herbivorous,horny beak and shearing teeth,tough palm fronds,on 4 legs,"Late Cretaceous, 68-66 million years ago",USA,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae",Marsh ,(1889) ,horridus,"  With its 3 horns, a parrot-like beak and a large frill that could reach nearly 1 metre (3 feet) across, the Triceratops skull is one of the largest and most striking of any land animal.  The horns could have been used to fend off attacks from Tyrannosaur",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/triceratops.jpg
Troodon,TROH-oh-don,'wounding tooth',small theropod,2.0m,40kg,carnivorous,,,,"Late Cretaceous, 74-66 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Paraves, Eumaniraptoria, Troodontidae",Leidy ,(1856) ,formosus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/troo.jpg
Tsagantegia,tsah-gahn-tay-gee-a,'Tsagan Teg',armoured dinosaur,,,herbivorous,,,,"Late Cretaceous, 99-84 million years ago",Mongolia,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Ankylosauridae",Tumanova ,(1993) ,longicranialis,"  Only the skull of Tsagantegia has been found, so the rest is guesswork based on similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Tsagantegia.jpg
Tsintaosaurus,ching-dow-sore-us,'Qingdao lizard',large ornithopod,12.0m,,herbivorous,,,,"Late Cretaceous, 84-71 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Lambeosaurinae",Young ,(1958) ,spinorhinus,  Tsintaosaurus is known from skulls and a partial skeleton.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Tsintaosaurus.jpg
Tuojiangosaurus,too-YANG-oh-sore-us,'Tuo River lizard',armoured dinosaur,7.0m,1500kg,herbivorous,,,,"Late Jurassic, 157-154 million years ago",China,"Dinosauria, Ornithischia, Thyreophora, Stegosauria, Stegosauridae, Stegosaurinae","Dong, Li, Zhou and Zhang ",(1973) ,multispinus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/tuojiang.jpg
Tylocephale,tie-loh-keff-ah-lee,'swelling head',pachycephalosaur,1.4m,,herbivorous,,,,"Late Cretaceous, 75-72 million years ago",Mongolia,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria, Pachycephalosauridae",MaryaÃ ska and OsmÃÂ³lska ,(1974) ,gilmorei,"  Tylocephale is known from a partial skull, including the mandible (jawbone).",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Tylocephale.jpg
Tyrannosaurus,tie-RAN-oh-sore-us,'tyrant lizard',large theropod,12.0m,7000kg,carnivorous,"60 saw-edged, bone-crushing, pointed teeth",other animals,on 2 legs,"Late Cretaceous, 68-66 million years ago","Canada,
						
							USA","Dinosauria, Saurischia, Theropoda, Tyrannosauroidea, Tyrannosauridae, Tyrannosaurinae",Osborn ,(1905) ,rex,"  Tyrannosaurus lives up to its reputation as one of the most fearsome animals of all time. Its powerful jaws had 60 teeth, each one up to 20cm (8 inches) long and its bite was around 3 times as powerful than that of a lion.  Bite marks found on Triceratop",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/tyran.jpg
Tyrannotitan,tie-RAN-oh-tie-tan,'tyrant titan',large theropod,12.0m,7000kg,carnivorous,,,on two legs,"Early Cretaceous, 101 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Carcharodontosauridae","Novas, Valais, Vickers-Rich and Rich ",(2005) ,chubutensis,"  Tyrannotitan was a giant predator with very short arms that was closely related to Giganotosaurus and Mapusaurus. Fifty-seven Tyrannotitan teeth were found associated with Patagotitan remains, indicating that it scavenged from the bodies of these giants ",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/tyrannotitan-c.jpg
Udanoceratops,oo-dahn-oh-serra-tops,'Udan [Sayr] horned face',ceratopsian,,,herbivorous,,,,"Late Cretaceous, 81-75 million years ago",Mongolia,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia",Kurzanov ,(1992) ,tschizhovi,  Udanoceratops is known from a partial skull and postcranial skeleton. This 'ceratops' had hardly any head frill.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Udanoceratops.jpg
Unenlagia,oon-en-lahg-ee-ah,'half bird',small theropod,2.4m,,carnivorous,,,,"Late Cretaceous, 94-86 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Dromaeosauridae",Novas and Puerta ,(1997) ,comahuensis,  Unenlagia is known from postcranial remains. The shoulder joint indicates a wide range of arm movements could be made. This may even have evolved from flying ancestors.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Unenlagia.jpg
Urbacodon,urb-ah-ko-don,'URBAC tooth',small theropod,1.0m,,carnivorous,,,,"Late Cretaceous, 95 million years ago",Uzbekistan,"Dinosauria, Saurischia",Averianov and Sues ,(2007) ,itemirensis,"  Urbacodon is known only from a left dentary (the bone of the lower jaw that bears the teeth), which contained 32 unserrated teeth. Its name comes from 'URBAC', the acronym for international joint expeditions to the Kyzylkum Desert.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/urbacodon.jpg
Utahraptor,YOO-tah-RAP-tor,'Utah plunderer',large theropod,5.5m,350kg,carnivorous,"lots of sharp, pointed teeth","other animals, including quite big plant-eating dinosaurs such as Hippodraco",on 2 legs,"Early Cretaceous, 139-135 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Dromaeosauridae","Kirkland, Gaston and Burge ",(1993) ,ostrommaysi," Utahraptor Utahraptor was a meat-eating dinosaur that lived in what's now North America. Velociraptor It was a member of the dromaeosaur group, like Velociraptor. But Utahraptor was much larger, the largest known member of this group.  It was much stockie",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/utahraptor.jpg
Valdosaurus,val-doh-sore-us,'Wealden lizard',small ornithopod,3.0m,,herbivorous,,,,"Early Cretaceous, 142-121 million years ago","England,
						
							Niger,
						
							Romania,
						
							United Kingdom","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Dryosauridae",Galton ,(1975) ,canaliculatus,"  Valdosaurus is known from postcranial bones, teeth and dentary (the lower jaw bone that bears the teeth).",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Valdosaurus.jpg
Velociraptor,vel-OSS-ee-rap-tor,'quick plunderer',small theropod,1.8m,7kg,carnivorous,"lots of sharp, pointed teeth",other animals,on 2 legs,"Late Cretaceous, 74-70 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Dromaeosauridae",Osborn ,(1924) ,mongoliensis,"  As portrayed in the Jurassic Park movies, Velociraptor was recreated at twice its actual size and closely modelled on Deinonychus. Though this was seen as unscientific at the time, soon after the first film was released, a dinosaur of the same type, Utah",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/veloc.jpg
Vulcanodon,vul-kan-oh-don,'volcano tooth',sauropod,6.5m,,herbivorous,,,,"Early Jurassic, 205-202 million years ago",Zimbabwe,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Vulcanodontidae",Raath ,(1972) ,karibaensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Vulcanodon.jpg
Yandusaurus,yen-doo-sore-us,'Yandu lizard',small ornithopod,3.0m,,herbivorous,,,,"Mid Jurassic, 169-159 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda",He ,(1979) ,hongheensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Yandusaurus.jpg
Yangchuano-saurus,yang-choo-AHN-oh-SORE-us,'Yangchuan lizard',large theropod,10.0m,,carnivorous,,,,"Late Jurassic, 160-144 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria, Allosauroidea, Sinraptoridae","Dong, Chang, Li and Zhou ",(1978) ,shangyouensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/yangchu.jpg
Yimenosaurus,yee-muhn-oh-sore-us,'Yimen lizard',prosauropod,9.0m,,herbivorous,,,,"Early Jurassic, 195-190 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda","Bai, Yang and Wang ",(1990) ,youngi,  Quite a lot is known about this dinosaur from 10 partial skeletons and a skull.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Yimenosaurus.jpg
Yingshanosaurus,ying-shan-oh-sore-us,'Mt. Ying lizard',armoured dinosaur,,,herbivorous,,,,"Late Jurassic, 159-142 million years ago",China,"Dinosauria, Ornithischia, Thyreophora, Stegosauria",Watanabe ,(1992) ,jichuanensis,"  This dinosaur was named in a Japanese dinosaur book, but has not been fully described yet (it is a nomen nudum).",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Yingshanosaurus.jpg
Yinlong,yin-long,'hidden dragon',ceratopsian,1.2m,,herbivorous,,,,"Mid Jurassic, 159-154 million years ago",China,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia","Xu, Forster, Clark and Mo ",(2006) ,downsi,"  The earliest known ceratopsian, showing features of ceratopsians, pachycephalosaurians and heterodontosaurids.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Yinlong.jpg
Yuanmousaurus,ywahn-moo-sore-us,'Yuanmou (area where the type locality is) lizard',sauropod,17.0m,,herbivorous,,,,"Mid Jurassic, 180-159 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda","LÃÂ¼, Li, Ji, Wang, Zhang and Dong ",(2006) ,jiangyiensis,  Yuanmousaurus is known from an incomplete skeleton.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Yuanmousaurus.jpg
Yunnanosaurus,yoo-nahn-oh-sore-us,'Yunnan lizard',prosauropod,7.0m,,omnivorous,,,,"Early Jurassic, 205-190 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria",Young ,(1942) ,huangi,"  20 Yunnanosaurus skeletons have been found, including adult and juvenile specimens.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Yunnanosaurus.jpg
Yutyrannus,YOO-tie-ran-us,'feathered tyrant',large theropod,7.5m,1100kg,carnivorous,,,,"Early Cretaceous, 125 million years ago",China,"Dinosauria, Saurischia, Theropoda, Tyrannosauroidea",Xu and colleagues ,(2012) ,huali," Yutyrannus Yutyrannus was a large, meat-eating dinosaur from northern China. It was an early member of the tyrannosaur group. Yutyrannus Unlike later tyrannosaurs, which had short arms with two-fingered hands, Yutyrannus had three fingers on each hand and",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/yutyrannus.jpg
Zalmoxes,zal-moks-eez,'Zalmoxes (Dacian deity)',small ornithopod,3.0m,,herbivorous,,,,"Late Cretaceous, 69 million years ago",Romania,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Rhabdodontidae",Nopcsa ,(1902) ,robustus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Zalmoxes.jpg
Zephyrosaurus,ZEF-ear-ro-SORE-us,'west wind lizard',small ornithopod,1.8m,,herbivorous,,,,"Early Cretaceous, 120-110 million years ago",USA,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda",Sues ,(1980) ,schaffi,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/zephyro.jpg
Zuniceratops,zoo-nee-serra-tops,'Zuni (the name of a tribe of Indigenous People in the USA) horned-face',ceratopsian,,,herbivorous,,,,"Late Cretaceous, 94-89 million years ago",USA,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria",Wolfe and Kirkland ,(1998) ,christopheri,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Zuniceratops.jpg
